N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
55.0,LG디스플레이,13650.0,250.0,-1.80%,5000.0,48842.0,357816.0,19.23,1466863.0,23.21,9.68
56.0,KODEX 200,28785.0,205.0,+0.72%,0.0,48647.0,169000.0,5.8,6516041.0,,
57.0,카카오페이,36400.0,50.0,+0.14%,500.0,48278.0,132631.0,42.65,671288.0,-183.84,-2.45
58.0,맥쿼리인프라,11850.0,100.0,+0.85%,0.0,47974.0,404846.0,13.35,525030.0,,
59.0,하이브,114500.0,4000.0,-3.38%,500.0,47350.0,41353.0,15.68,359368.0,20.18,6.83
60.0,삼성중공업,5280.0,10.0,+0.19%,1000.0,46464.0,880000.0,15.7,2246881.0,-6.97,-36.89
61.0,삼성엔지니어링,23600.0,500.0,+2.16%,5000.0,46256.0,196000.0,40.45,663460.0,10.86,20.67
62.0,LG유플러스,10500.0,0.0,0.00%,5000.0,45844.0,436611.0,37.55,610519.0,7.17,9.47
63.0,HD현대,57900.0,300.0,+0.52%,1000.0,45737.0,78993.0,17.12,66254.0,5.14,-1.99
64.0,한국항공우주,44200.0,850.0,-1.89%,5000.0,43084.0,97475.0,22.71,1684936.0,50.8,5.19
65.0,현대미포조선,107000.0,1500.0,+1.42%,5000.0,42738.0,39942.0,20.25,232297.0,-101.42,-7.11
66.0,한국타이어앤테크놀로지,34250.0,700.0,-2.00%,500.0,42427.0,123875.0,36.03,300026.0,6.22,7.69
67.0,SK바이오팜,53100.0,700.0,-1.30%,500.0,41584.0,78313.0,6.04,156981.0,-53.47,15.75
68.0,현대건설,37250.0,500.0,+1.36%,5000.0,41480.0,111356.0,23.22,418709.0,7.35,5.89
69.0,롯데지주,39300.0,2250.0,+6.07%,200.0,41229.0,104909.0,9.72,269860.0,12.36,4.61
70.0,GS,44050.0,200.0,+0.46%,5000.0,40929.0,92915.0,24.61,105662.0,1.89,15.55
71.0,현대제철,30450.0,350.0,+1.16%,5000.0,40634.0,133446.0,21.06,311395.0,2.09,8.54
72.0,유한양행,54700.0,200.0,-0.36%,1000.0,40058.0,73231.0,19.41,81554.0,41.6,5.45
73.0,코웨이,53600.0,800.0,+1.52%,500.0,39557.0,73800.0,61.77,104360.0,8.05,27.41
74.0,금호석유,134500.0,3000.0,+2.28%,5000.0,39428.0,29314.0,21.43,98769.0,2.87,47.76
75.0,한온시스템,7320.0,140.0,-1.88%,100.0,39074.0,533800.0,16.44,1027803.0,20.91,13.83
76.0,오리온,97500.0,700.0,-0.71%,500.0,38548.0,39536.0,35.85,65556.0,13.19,12.75
77.0,DB손해보험,54300.0,1000.0,-1.81%,500.0,38444.0,70800.0,42.61,124272.0,4.01,13.38
78.0,미래에셋증권,6200.0,100.0,+1.64%,5000.0,38150.0,615316.0,12.62,586867.0,5.03,11.66
79.0,넷마블,44300.0,4400.0,-9.03%,100.0,38077.0,85954.0,23.35,481831.0,-163.47,4.29
80.0,SK아이이테크놀로지,50600.0,800.0,-1.56%,1000.0,36077.0,71298.0,9.52,415939.0,279.56,5.57
81.0,삼성카드,30250.0,50.0,+0.17%,5000.0,35047.0,115859.0,6.62,33179.0,5.99,7.53
82.0,SKC,90800.0,6800.0,+8.10%,5000.0,34384.0,37868.0,16.73,463946.0,11.72,11.6
83.0,TIGER 차이나전기차SOLACTIVE,13770.0,155.0,+1.14%,0.0,32657.0,237160.0,0.44,2347683.0,,
84.0,메리츠화재,28350.0,0.0,0.00%,500.0,32257.0,113783.0,11.4,137868.0,4.21,26.12
85.0,한국가스공사,34150.0,350.0,-1.01%,5000.0,31525.0,92313.0,10.84,163158.0,2.29,11.63
86.0,KODEX KOFR금리액티브(합성),100970.0,10.0,+0.01%,0.0,30673.0,30378.0,2.04,37684.0,,
87.0,현대오토에버,111500.0,3500.0,+3.24%,500.0,30578.0,27424.0,1.98,21817.0,39.48,7.26
88.0,BGF리테일,172000.0,0.0,0.00%,1000.0,29728.0,17284.0,31.75,77743.0,17.66,19.61
89.0,NH투자증권,8930.0,60.0,+0.68%,5000.0,29618.0,331666.0,12.98,271051.0,4.6,14.77
90.0,두산밥캣,29450.0,0.0,0.00%,500.0,29523.0,100249.0,26.16,153952.0,7.05,9.19
91.0,한화에어로스페이스,57600.0,100.0,-0.17%,5000.0,29163.0,50630.0,23.54,1174257.0,18.88,9.21
92.0,쌍용C&E,5780.0,50.0,-0.86%,100.0,29123.0,503860.0,2.76,503881.0,24.6,11.12
93.0,호텔신라,73800.0,800.0,+1.10%,5000.0,28965.0,39248.0,16.82,164892.0,88.49,4.51
94.0,현대차2우B,79300.0,100.0,-0.13%,5000.0,28933.0,36485.0,60.11,28832.0,3.52,
95.0,한미약품,229500.0,1000.0,+0.44%,2500.0,28270.0,12318.0,14.7,22612.0,35.87,8.75
96.0,삼성증권,31250.0,200.0,+0.64%,5000.0,27906.0,89300.0,26.93,189916.0,3.98,16.94
97.0,에스디바이오센서,26500.0,50.0,+0.19%,500.0,27367.0,103271.0,14.32,305862.0,2.35,72.47
98.0,포스코인터내셔널,22100.0,200.0,+0.91%,5000.0,27266.0,123375.0,9.39,341042.0,5.12,10.86
99.0,한국금융지주,48500.0,1550.0,+3.30%,5000.0,27027.0,55726.0,33.82,181183.0,2.04,27.12
100.0,현대로템,24650.0,150.0,-0.60%,5000.0,26904.0,109142.0,6.84,2641109.0,32.18,5.01
101.0,메리츠금융지주,21000.0,150.0,+0.72%,500.0,26790.0,127572.0,6.28,120625.0,2.82,22.33
102.0,현대해상,29750.0,50.0,-0.17%,500.0,26596.0,89400.0,33.17,240049.0,4.86,8.82
103.0,제일기획,22850.0,0.0,0.00%,200.0,26287.0,115041.0,32.66,170514.0,14.32,15.58
104.0,씨에스윈드,62100.0,100.0,+0.16%,500.0,26188.0,42171.0,10.59,143159.0,150.73,10.13
105.0,GS리테일,24450.0,50.0,+0.20%,1000.0,25604.0,104718.0,7.27,88947.0,3.17,25.58
106.0,롯데쇼핑,88700.0,300.0,+0.34%,5000.0,25092.0,28289.0,12.62,47867.0,-21.84,-2.94
107.0,일진머티리얼즈,54400.0,2400.0,-4.23%,500.0,25084.0,46111.0,9.32,573148.0,42.6,7.85
108.0,이마트,87100.0,3600.0,+4.31%,5000.0,24280.0,27876.0,27.27,165523.0,1.38,16.25
109.0,팬오션,4465.0,105.0,-2.30%,1000.0,23869.0,534570.0,16.36,2245407.0,3.02,17.16
110.0,한진칼,35700.0,250.0,+0.71%,2500.0,23834.0,66762.0,16.05,67039.0,3.0,1.11
111.0,KODEX 200선물인버스2X,3730.0,55.0,-1.45%,0.0,22947.0,615200.0,4.85,162709667.0,,
112.0,신세계,225500.0,3500.0,-1.53%,5000.0,22201.0,9845.0,27.44,44721.0,5.49,8.54
113.0,OCI,92900.0,1100.0,-1.17%,5000.0,22156.0,23849.0,11.29,373701.0,2.97,23.93
114.0,메리츠증권,3430.0,25.0,-0.72%,1000.0,21942.0,639711.0,14.04,1292290.0,3.0,15.77
115.0,KCC,244500.0,7500.0,+3.16%,5000.0,21727.0,8886.0,10.81,19062.0,-8.56,-0.92
116.0,에스원,55900.0,400.0,-0.71%,500.0,21242.0,37999.0,53.38,48717.0,17.31,9.13
117.0,LG화학우,273500.0,3000.0,-1.08%,5000.0,21029.0,7689.0,70.41,2848.0,9.64,
118.0,LIG넥스원,94100.0,4100.0,+4.56%,5000.0,20702.0,22000.0,11.07,498272.0,13.93,14.63
119.0,한화시스템,10900.0,100.0,+0.93%,5000.0,20592.0,188919.0,3.17,410887.0,111.22,6.04
120.0,대우조선해양,19050.0,300.0,-1.55%,5000.0,20439.0,107291.0,2.73,448284.0,-1.82,-55.86
121.0,한미사이언스,29750.0,50.0,-0.17%,500.0,20416.0,68624.0,2.34,59301.0,39.61,6.37
122.0,TIGER 미국나스닥100,69390.0,605.0,-0.86%,0.0,20304.0,29260.0,0.0,189743.0,,
